mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 1040 ms
[YDLIDAR] Create thread 0xA69EE4C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-25 01:46:16][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=2.1 y=2.05 yaw=-0.0654502 score=0.980696 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=908585 reason=initial_global_pose_accepted
x=2.1 y=2.05 yaw=-0.0663844 score=0.978992 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=47968 reason=recovery_confirmation_pending
x=2.1 y=2.05 yaw=-0.0673186 score=0.978904 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=47732 reason=recovery_confirmation_pending
x=2.1 y=2.05 yaw=-0.0682528 score=0.978936 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46383 reason=recovery_confirmed
x=2.1 y=2.05 yaw=-0.0517337 score=0.979513 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=52549 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0701211 score=0.979137 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=56019 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.053602 score=0.982768 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=57529 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0719894 score=0.976846 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=56371 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0554703 score=0.977688 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=57096 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0564044 score=0.983573 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=57650 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0747919 score=0.979567 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=58294 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.075726 score=0.981588 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=55249 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0766602 score=0.975167 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=54863 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0775944 score=0.976784 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=55061 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0610753 score=0.983886 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=55670 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0620095 score=0.976408 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=55715 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0803969 score=0.976996 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=56179 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0813311 score=0.974236 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=59645 reason=tracking_pose_accepted
