mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 972 ms
[YDLIDAR] Create thread 0xA69774C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-25 02:20:35][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=6.35 y=3.75 yaw=-0.0654502 score=0.970739 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=913695 reason=initial_global_pose_accepted
x=6.3 y=3.75 yaw=-0.0663844 score=0.973672 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=48771 reason=recovery_confirmation_pending
x=6.35 y=3.75 yaw=-0.0673186 score=0.974943 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=47201 reason=recovery_confirmation_pending
x=6.35 y=3.75 yaw=-0.0682528 score=0.980341 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44948 reason=recovery_confirmed
x=6.3 y=3.75 yaw=-0.069187 score=0.974146 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=52476 reason=tracking_pose_accepted
x=6.35 y=3.75 yaw=-0.0701211 score=0.974743 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=52041 reason=tracking_pose_accepted
x=6.35 y=3.75 yaw=-0.0710553 score=0.979936 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=58485 reason=tracking_pose_accepted
x=6.35 y=3.75 yaw=-0.0719895 score=0.979936 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=59990 reason=tracking_pose_accepted
x=6.35 y=3.75 yaw=-0.0729237 score=0.981818 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=56308 reason=tracking_pose_accepted
x=6.35 y=3.75 yaw=-0.0738579 score=0.981561 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=56860 reason=tracking_pose_accepted
x=6.35 y=3.75 yaw=-0.0747921 score=0.984839 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57748 reason=tracking_pose_accepted
x=6.35 y=3.75 yaw=-0.0757262 score=0.986239 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=54088 reason=tracking_pose_accepted
x=6.34999 y=3.75 yaw=-0.0766604 score=0.983669 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=54417 reason=tracking_pose_accepted
x=6.34999 y=3.75 yaw=-0.0775946 score=0.97872 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=54606 reason=tracking_pose_accepted
x=6.34999 y=3.75 yaw=-0.0785288 score=0.980786 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=54859 reason=tracking_pose_accepted
x=6.34999 y=3.75 yaw=-0.079463 score=0.977849 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=55287 reason=tracking_pose_accepted
x=6.34999 y=3.75 yaw=-0.0803971 score=0.980596 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=55046 reason=tracking_pose_accepted
x=6.34999 y=3.75 yaw=-0.0813313 score=0.985828 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=59711 reason=tracking_pose_accepted
