mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 953 ms
[YDLIDAR] Create thread 0xA69BD4C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 1 ms
[2026-07-25 01:33:54][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=3.3 y=2.05 yaw=-0.0436336 score=0.97188 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=903104 reason=initial_global_pose_accepted
x=3.3 y=2.05 yaw=-0.0620211 score=0.974898 valid=1 mode=tracking state=RECOVERED evaluated=831 execution_us=51318 reason=recovery_confirmation_pending
x=3.3 y=2.05 yaw=-0.0629552 score=0.967236 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=47540 reason=recovery_confirmation_pending
x=3.3 y=2.05 yaw=-0.0464361 score=0.977714 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=47161 reason=recovery_confirmed
x=3.3 y=2.05 yaw=-0.0473703 score=0.980291 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=52666 reason=tracking_pose_accepted
x=3.3 y=2.05 yaw=-0.0657577 score=0.974359 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=59511 reason=tracking_pose_accepted
x=3.3 y=2.05 yaw=-0.0492386 score=0.980342 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=59439 reason=tracking_pose_accepted
x=3.3 y=2.05 yaw=-0.0501728 score=0.975312 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=59982 reason=tracking_pose_accepted
x=3.3 y=2.05 yaw=-0.0511069 score=0.975008 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=59638 reason=tracking_pose_accepted
x=3.3 y=2.05 yaw=-0.0520411 score=0.977714 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=59937 reason=tracking_pose_accepted
x=3.3 y=2.05 yaw=-0.0529753 score=0.97416 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=57323 reason=tracking_pose_accepted
x=3.29999 y=2.05 yaw=-0.0539095 score=0.976744 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=53652 reason=tracking_pose_accepted
x=3.29999 y=2.05 yaw=-0.0548437 score=0.977107 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=54512 reason=tracking_pose_accepted
x=3.29999 y=2.05 yaw=-0.0557779 score=0.971734 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=53955 reason=tracking_pose_accepted
x=3.29999 y=2.05 yaw=-0.0567121 score=0.979078 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=54615 reason=tracking_pose_accepted
x=3.29999 y=2.05 yaw=-0.0576462 score=0.979381 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=55279 reason=tracking_pose_accepted
x=3.29999 y=2.05 yaw=-0.0585804 score=0.979685 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=54973 reason=tracking_pose_accepted
x=3.29999 y=2.05 yaw=-0.0595146 score=0.976804 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=58338 reason=tracking_pose_accepted
