scan_sequence,timestamp_ns,angle_rad,range_m,intensity
1,1784943437005821000,3.12250304,2.35299993,44.0000000
1,1784943437005821000,3.10968590,2.35500002,44.0000000
1,1784943437005821000,3.09659576,2.35500002,44.0000000
1,1784943437005821000,3.08323312,2.35599995,44.0000000
1,1784943437005821000,3.06987047,2.36400008,42.0000000
1,1784943437005821000,3.05650783,2.36199999,44.0000000
1,1784943437005821000,3.04314518,2.36500001,44.0000000
1,1784943437005821000,3.02978253,2.36999989,43.0000000
1,1784943437005821000,3.01641965,2.37199998,42.0000000
1,1784943437005821000,3.00305700,2.37800002,43.0000000
1,1784943437005821000,2.98969436,2.38199997,43.0000000
1,1784943437005821000,2.97633171,2.38800001,43.0000000
1,1784943437005821000,2.96296906,2.39800000,43.0000000
1,1784943437005821000,2.94960642,2.40300012,43.0000000
1,1784943437005821000,2.93624377,2.40700006,43.0000000
1,1784943437005821000,2.92288113,2.41499996,43.0000000
1,1784943437005821000,2.90951824,2.41899991,43.0000000
1,1784943437005821000,2.89615560,2.42799997,43.0000000
1,1784943437005821000,2.88279295,2.43700004,42.0000000
1,1784943437005821000,2.86943030,2.44499993,42.0000000
1,1784943437005821000,2.85606766,2.45400000,42.0000000
1,1784943437005821000,2.84270501,2.46399999,42.0000000
1,1784943437005821000,2.82934237,2.47300005,42.0000000
1,1784943437005821000,2.81597948,2.48399997,41.0000000
1,1784943437005821000,2.80261683,2.49600005,41.0000000
1,1784943437005821000,2.78925419,2.50900006,40.0000000
1,1784943437005821000,2.77589154,2.52399993,40.0000000
1,1784943437005821000,2.76252890,2.53299999,40.0000000
1,1784943437005821000,2.74916625,2.54699993,39.0000000
1,1784943437005821000,2.73580360,2.56200004,40.0000000
1,1784943437005821000,2.72244096,2.57999992,40.0000000
1,1784943437005821000,2.70907807,2.59699988,39.0000000
1,1784943437005821000,2.69571543,2.61100006,39.0000000
1,1784943437005821000,2.68235278,2.62899995,39.0000000
1,1784943437005821000,2.66899014,2.64700007,39.0000000
1,1784943437005821000,2.65562749,2.66400003,38.0000000
1,1784943437005821000,2.64226484,2.68300009,38.0000000
1,1784943437005821000,2.62890220,2.70799994,38.0000000
1,1784943437005821000,2.61553955,2.72099996,37.0000000
1,1784943437005821000,2.60217667,0.00000000,32.0000000
1,1784943437005821000,2.58881402,2.60899997,32.0000000
1,1784943437005821000,2.57599688,2.55999994,33.0000000
1,1784943437005821000,2.56263423,2.50699997,34.0000000
1,1784943437005821000,2.54927158,2.46000004,35.0000000
1,1784943437005821000,2.53590870,2.41199994,35.0000000
1,1784943437005821000,2.52254605,2.36599994,36.0000000
1,1784943437005821000,2.50918341,2.32299995,36.0000000
1,1784943437005821000,2.49582076,2.28399992,37.0000000
1,1784943437005821000,2.48245811,2.24499989,39.0000000
1,1784943437005821000,2.46882272,2.20799994,40.0000000
1,1784943437005821000,2.45546007,2.17400002,40.0000000
1,1784943437005821000,2.44209743,2.14299989,40.0000000
1,1784943437005821000,2.42873478,2.10899997,41.0000000
1,1784943437005821000,2.41537189,2.07900000,42.0000000
1,1784943437005821000,2.40200925,2.04900002,42.0000000
1,1784943437005821000,2.38864660,2.01999998,43.0000000
1,1784943437005821000,2.37528396,1.99600005,43.0000000
1,1784943437005821000,2.36164856,1.97200000,42.0000000
1,1784943437005821000,2.34828591,1.94700003,42.0000000
1,1784943437005821000,2.33492327,1.92299998,43.0000000
1,1784943437005821000,2.32156062,1.90100002,43.0000000
1,1784943437005821000,2.30819798,1.88100004,44.0000000
1,1784943437005821000,2.29483509,1.86199999,44.0000000
1,1784943437005821000,2.28147244,1.83700001,44.0000000
1,1784943437005821000,2.26811004,1.81700003,44.0000000
1,1784943437005821000,2.25447440,1.79799998,44.0000000
1,1784943437005821000,2.24111199,1.77800000,44.0000000
1,1784943437005821000,2.22774911,1.76400006,46.0000000
1,1784943437005821000,2.21438622,1.74300003,44.0000000
1,1784943437005821000,2.20102382,1.72800004,45.0000000
1,1784943437005821000,2.18766093,1.71000004,46.0000000
1,1784943437005821000,2.17429852,1.69599998,46.0000000
1,1784943437005821000,2.16093564,1.67900002,46.0000000
1,1784943437005821000,2.14730048,1.66499996,46.0000000
1,1784943437005821000,2.13393760,1.64999998,47.0000000
1,1784943437005821000,2.12057471,1.63499999,47.0000000
1,1784943437005821000,2.10721231,1.62500000,48.0000000
1,1784943437005821000,2.09384942,1.61500001,48.0000000
1,1784943437005821000,2.08048701,1.60300004,48.0000000
1,1784943437005821000,2.06712413,1.59000003,48.0000000
