mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 1009 ms
[YDLIDAR] Create thread 0xA695E4C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2098 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-25 01:37:17][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=3.95 y=4.45 yaw=-0.0436336 score=0.996621 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=894810 reason=initial_global_pose_accepted
x=3.95 y=4.45 yaw=-0.0620211 score=0.988664 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=49805 reason=recovery_confirmation_pending
x=3.95 y=4.45 yaw=-0.0629552 score=0.988175 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=47482 reason=recovery_confirmation_pending
x=3.95 y=4.45 yaw=-0.0638894 score=0.98784 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=55982 reason=recovery_confirmed
x=3.95 y=4.45 yaw=-0.0473703 score=0.989916 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=52449 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0483045 score=0.992228 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=96541 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0492386 score=0.995404 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=79850 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0501728 score=0.992268 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=46589 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.051107 score=0.995711 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=55501 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0520412 score=0.993719 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=56781 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0529754 score=0.995452 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57066 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0539096 score=0.995733 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=55924 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0548437 score=0.995098 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=59169 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0557779 score=0.995416 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57682 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0567121 score=0.991662 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=50522 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0576463 score=0.992781 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=49939 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0585805 score=0.992856 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=50086 reason=tracking_pose_accepted
x=3.95 y=4.45 yaw=-0.0595147 score=0.991381 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=82690 reason=tracking_pose_accepted
