mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 943 ms
[YDLIDAR] Create thread 0xA69684C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-25 06:53:19][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=2.1 y=2.05 yaw=-0.021817 score=0.980942 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=893081 reason=initial_global_pose_accepted
x=2.1 y=2.05 yaw=-0.0402044 score=0.974768 valid=1 mode=tracking state=RECOVERED evaluated=831 execution_us=50074 reason=recovery_confirmation_pending
x=2.1 y=2.05 yaw=-0.0236853 score=0.9775 valid=1 mode=tracking state=RECOVERED evaluated=831 execution_us=49348 reason=recovery_confirmation_pending
x=2.1 y=2.05 yaw=-0.0246195 score=0.975249 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=58896 reason=recovery_confirmed
x=2.1 y=2.05 yaw=-0.0430069 score=0.977635 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=55492 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.043941 score=0.975208 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=55421 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0274219 score=0.98117 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=54779 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0283561 score=0.981841 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=56007 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0118369 score=0.972746 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=55201 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0302244 score=0.981579 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=59391 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0311585 score=0.978805 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=60503 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0320927 score=0.975802 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=59866 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0330268 score=0.979058 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=60229 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0165077 score=0.97474 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=60876 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0348952 score=0.976253 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=60366 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0358293 score=0.978385 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=57657 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0367635 score=0.984641 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=57462 reason=tracking_pose_accepted
x=2.1 y=2.05 yaw=-0.0376976 score=0.976687 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=57138 reason=tracking_pose_accepted
