mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 1041 ms
[YDLIDAR] Create thread 0xA69A94C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2096 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-25 01:25:36][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=6.35 y=4.35 yaw=-0.0436336 score=0.989071 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=925700 reason=initial_global_pose_accepted
x=6.35 y=4.35 yaw=-0.0445678 score=0.98133 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=48571 reason=recovery_confirmation_pending
x=6.35 y=4.35 yaw=-0.045502 score=0.982052 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=47124 reason=recovery_confirmation_pending
x=6.35 y=4.4 yaw=-0.0289829 score=0.982124 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=45393 reason=recovery_confirmed
x=6.35 y=4.35 yaw=-0.0473703 score=0.985072 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=54001 reason=tracking_pose_accepted
x=6.35 y=4.4 yaw=-0.0308512 score=0.986894 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=55423 reason=tracking_pose_accepted
x=6.35 y=4.4 yaw=-0.0317853 score=0.986962 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=56938 reason=tracking_pose_accepted
x=6.35 y=4.4 yaw=-0.0327194 score=0.98552 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=56968 reason=tracking_pose_accepted
x=6.35 y=4.4 yaw=-0.0336535 score=0.987903 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57182 reason=tracking_pose_accepted
x=6.35 y=4.4 yaw=-0.0345877 score=0.98784 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=50300 reason=tracking_pose_accepted
x=6.35 y=4.35 yaw=-0.0355218 score=0.986016 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=50780 reason=tracking_pose_accepted
x=6.35 y=4.35 yaw=-0.0364559 score=0.986128 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=51306 reason=tracking_pose_accepted
x=6.34999 y=4.4 yaw=-0.03739 score=0.986928 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=51642 reason=tracking_pose_accepted
x=6.34999 y=4.4 yaw=-0.0383242 score=0.987536 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=51979 reason=tracking_pose_accepted
x=6.34999 y=4.4 yaw=-0.0392583 score=0.98784 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=52086 reason=tracking_pose_accepted
x=6.34999 y=4.4 yaw=-0.0401924 score=0.987536 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=59085 reason=tracking_pose_accepted
x=6.34999 y=4.4 yaw=-0.0411266 score=0.983584 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=60329 reason=tracking_pose_accepted
x=6.34999 y=4.35 yaw=-0.059514 score=0.982312 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57166 reason=tracking_pose_accepted
