mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 1011 ms
[YDLIDAR] Create thread 0xA69D24C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2098 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-23 04:10:52][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=1.65 y=1.35 yaw=1.50535 score=0.98241 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=854885 reason=initial_global_pose_accepted
x=1.65 y=1.35 yaw=1.48696 score=0.980855 valid=1 mode=tracking state=RECOVERED evaluated=831 execution_us=47896 reason=recovery_confirmation_pending
x=1.65 y=1.35 yaw=1.50348 score=0.980585 valid=1 mode=tracking state=RECOVERED evaluated=831 execution_us=48134 reason=recovery_confirmation_pending
x=1.65 y=1.35 yaw=1.50254 score=0.982704 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46888 reason=recovery_confirmed
x=1.65 y=1.35 yaw=1.50161 score=0.980585 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=47221 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.50068 score=0.981268 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46595 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49974 score=0.982704 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46616 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49881 score=0.980857 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=48141 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49787 score=0.981401 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46501 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49694 score=0.980818 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46704 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49601 score=0.982286 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46492 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49507 score=0.981485 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46438 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49414 score=0.982064 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=47206 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.4932 score=0.981645 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46833 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49227 score=0.980963 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46332 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.49134 score=0.98102 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=47198 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.4904 score=0.981034 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46285 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.50692 score=0.981293 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=51839 reason=tracking_pose_accepted
x=1.65 y=1.35 yaw=1.48853 score=0.981492 valid=1 mode=tracking state=TRACKING evaluated=831 execution_us=46670 reason=tracking_pose_accepted
