mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 1028 ms
[YDLIDAR] Create thread 0xA69CA4C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-24 01:25:54][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=3.25 y=2.1 yaw=1.13446 score=0.980895 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=837857 reason=initial_global_pose_accepted
x=3.25 y=2.1 yaw=1.13353 score=0.982405 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=45700 reason=recovery_confirmation_pending
x=3.25 y=2.1 yaw=1.1326 score=0.98519 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=44032 reason=recovery_confirmation_pending
x=3.25 y=2.1 yaw=1.13166 score=0.983162 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43557 reason=recovery_confirmed
x=3.25 y=2.1 yaw=1.13073 score=0.983813 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43089 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.14725 score=0.98344 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42991 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.12886 score=0.98421 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43457 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.12792 score=0.983486 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43450 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.12699 score=0.981507 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43568 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.12606 score=0.981609 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43504 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.12512 score=0.982368 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43345 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.12419 score=0.98143 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43423 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.14071 score=0.983362 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43605 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.13977 score=0.981183 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44086 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.13884 score=0.985344 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43164 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.15536 score=0.980526 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43746 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.13697 score=0.98451 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43536 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.13604 score=0.981222 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43679 reason=tracking_pose_accepted
x=3.25 y=2.1 yaw=1.1351 score=0.983886 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43062 reason=tracking_pose_accepted
