mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 1034 ms
[YDLIDAR] Create thread 0xA69764C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2098 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-24 01:30:15][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=3.25 y=1.5 yaw=1.15628 score=0.988529 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=866278 reason=initial_global_pose_accepted
x=3.25 y=1.5 yaw=1.13789 score=0.986719 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=47813 reason=recovery_confirmation_pending
x=3.25 y=1.5 yaw=1.15441 score=0.986582 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=46667 reason=recovery_confirmation_pending
x=3.25 y=1.5 yaw=1.15348 score=0.985748 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46162 reason=recovery_confirmed
x=3.25 y=1.5 yaw=1.13509 score=0.987252 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46111 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.15161 score=0.990099 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45217 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.15068 score=0.988879 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46003 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14974 score=0.990806 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45755 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14881 score=0.989596 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45974 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14787 score=0.990806 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45844 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14694 score=0.990806 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45991 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.146 score=0.990226 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45809 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14507 score=0.990454 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45806 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14414 score=0.989925 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45737 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.1432 score=0.989596 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45431 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14227 score=0.989899 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46083 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.14133 score=0.989569 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45369 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.1404 score=0.988053 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45735 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.13947 score=0.9887 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45864 reason=tracking_pose_accepted
