mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 956 ms
[YDLIDAR] Create thread 0xA69AE4C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2098 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-24 01:32:35][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=3.8 y=4.55 yaw=1.1781 score=0.976884 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=869056 reason=initial_global_pose_accepted
x=3.8 y=4.55 yaw=1.17716 score=0.97947 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=47673 reason=recovery_confirmation_pending
x=3.8 y=4.55 yaw=1.17623 score=0.982239 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=44907 reason=recovery_confirmation_pending
x=3.8 y=4.55 yaw=1.17529 score=0.980778 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44740 reason=recovery_confirmed
x=3.8 y=4.55 yaw=1.17436 score=0.983061 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=45388 reason=tracking_pose_accepted
x=3.8 y=4.55 yaw=1.17343 score=0.980774 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=44885 reason=tracking_pose_accepted
x=3.8 y=4.55 yaw=1.17249 score=0.982286 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44229 reason=tracking_pose_accepted
x=3.8 y=4.55 yaw=1.17156 score=0.983521 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45367 reason=tracking_pose_accepted
x=3.8 y=4.55 yaw=1.17062 score=0.982904 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44314 reason=tracking_pose_accepted
x=3.8 y=4.55 yaw=1.16969 score=0.980473 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46393 reason=tracking_pose_accepted
x=3.8 y=4.55 yaw=1.16876 score=0.982667 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44011 reason=tracking_pose_accepted
x=3.8 y=4.54999 yaw=1.16782 score=0.98079 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44178 reason=tracking_pose_accepted
x=3.8 y=4.54999 yaw=1.16689 score=0.986228 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45150 reason=tracking_pose_accepted
x=3.8 y=4.54999 yaw=1.18341 score=0.98178 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44637 reason=tracking_pose_accepted
x=3.79999 y=4.54999 yaw=1.18247 score=0.981874 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=44918 reason=tracking_pose_accepted
x=3.79999 y=4.54999 yaw=1.16409 score=0.981486 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43925 reason=tracking_pose_accepted
x=3.79999 y=4.54999 yaw=1.1806 score=0.979447 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44629 reason=tracking_pose_accepted
x=3.79999 y=4.54999 yaw=1.17967 score=0.981249 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44364 reason=tracking_pose_accepted
