mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 954 ms
[YDLIDAR] Create thread 0xA69EA4C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-23 06:10:06][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=6.25 y=4.55 yaw=1.24355 score=0.97204 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=828248 reason=initial_global_pose_accepted
x=6.25 y=4.55 yaw=1.24261 score=0.972882 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=45100 reason=recovery_confirmation_pending
x=6.25 y=4.55 yaw=1.24168 score=0.972715 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=43718 reason=recovery_confirmation_pending
x=6.25 y=4.55 yaw=1.24075 score=0.97079 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43584 reason=recovery_confirmed
x=6.25 y=4.55 yaw=1.23981 score=0.971654 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43402 reason=tracking_pose_accepted
x=6.25 y=4.55 yaw=1.23888 score=0.973426 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43823 reason=tracking_pose_accepted
x=6.25 y=4.55 yaw=1.23794 score=0.973152 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43570 reason=tracking_pose_accepted
x=6.25 y=4.55 yaw=1.23701 score=0.973784 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44206 reason=tracking_pose_accepted
x=6.25 y=4.55 yaw=1.23608 score=0.974118 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43830 reason=tracking_pose_accepted
x=6.25 y=4.55 yaw=1.23514 score=0.969257 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44089 reason=tracking_pose_accepted
x=6.25 y=4.55 yaw=1.23421 score=0.970737 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44660 reason=tracking_pose_accepted
x=6.25 y=4.55 yaw=1.23327 score=0.972686 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43158 reason=tracking_pose_accepted
x=6.24999 y=4.55 yaw=1.23234 score=0.974869 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44257 reason=tracking_pose_accepted
x=6.24999 y=4.55 yaw=1.23141 score=0.970551 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43239 reason=tracking_pose_accepted
x=6.24999 y=4.55 yaw=1.23047 score=0.971107 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43720 reason=tracking_pose_accepted
x=6.24999 y=4.55 yaw=1.22954 score=0.97295 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=44549 reason=tracking_pose_accepted
x=6.24999 y=4.55 yaw=1.24606 score=0.967849 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43267 reason=tracking_pose_accepted
x=6.24999 y=4.55 yaw=1.22767 score=0.96732 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43735 reason=tracking_pose_accepted
x=6.24999 y=4.55 yaw=1.24419 score=0.969847 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43627 reason=tracking_pose_accepted
