mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 989 ms
[YDLIDAR] Create thread 0xA69B64C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-23 07:55:17][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=6.2 y=4.55 yaw=-3.11978 score=0.90756 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=841354 reason=initial_global_pose_accepted
x=6.2 y=4.5 yaw=-3.13816 score=0.921664 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=45027 reason=recovery_confirmation_pending
x=6.25 y=4.5 yaw=-3.1391 score=0.924976 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=43795 reason=recovery_confirmation_pending
x=6.25 y=4.5 yaw=-3.14003 score=0.92446 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43431 reason=recovery_confirmed
x=6.25 y=4.5 yaw=-3.14097 score=0.924687 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43393 reason=tracking_pose_accepted
x=6.25 y=4.5 yaw=-3.1419 score=0.91876 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42660 reason=tracking_pose_accepted
x=6.2 y=4.5 yaw=-3.14284 score=0.921771 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42604 reason=tracking_pose_accepted
x=6.25 y=4.5 yaw=-3.14377 score=0.922099 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42788 reason=tracking_pose_accepted
x=6.25 y=4.5 yaw=-3.1447 score=0.91876 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42822 reason=tracking_pose_accepted
x=6.2 y=4.5 yaw=-3.14564 score=0.919571 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43057 reason=tracking_pose_accepted
x=6.2 y=4.5 yaw=-3.14657 score=0.917242 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42231 reason=tracking_pose_accepted
x=6.25 y=4.5 yaw=-3.14751 score=0.919513 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42903 reason=tracking_pose_accepted
x=6.19999 y=4.55 yaw=-3.11353 score=0.91912 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43223 reason=tracking_pose_accepted
x=6.19999 y=4.55 yaw=-3.11447 score=0.917397 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43230 reason=tracking_pose_accepted
x=6.19999 y=4.55 yaw=-3.1154 score=0.917105 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42684 reason=tracking_pose_accepted
x=6.19999 y=4.55 yaw=-3.11634 score=0.919714 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42985 reason=tracking_pose_accepted
x=6.19999 y=4.5 yaw=-3.13473 score=0.923696 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43443 reason=tracking_pose_accepted
x=6.24999 y=4.5 yaw=-3.13566 score=0.921252 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42854 reason=tracking_pose_accepted
