mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 979 ms
[YDLIDAR] Create thread 0xA69824C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-24 00:00:49][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=3.25 y=1.5 yaw=1.1781 score=0.980321 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=862270 reason=initial_global_pose_accepted
x=3.25 y=1.5 yaw=1.17716 score=0.989482 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=47988 reason=recovery_confirmation_pending
x=3.25 y=1.5 yaw=1.17623 score=0.984494 valid=1 mode=tracking state=RECOVERED evaluated=807 execution_us=46973 reason=recovery_confirmation_pending
x=3.25 y=1.5 yaw=1.17529 score=0.987943 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45935 reason=recovery_confirmed
x=3.25 y=1.5 yaw=1.17436 score=0.982393 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46609 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.17343 score=0.98017 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45614 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.17249 score=0.98381 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45843 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.17156 score=0.985927 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45999 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.17062 score=0.986269 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45709 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.16969 score=0.983792 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45906 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.16876 score=0.985664 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46273 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.16782 score=0.981279 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45827 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.18434 score=0.984576 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45562 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.18341 score=0.982308 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45975 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.18247 score=0.983308 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45736 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.18154 score=0.983143 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=46306 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.1806 score=0.984685 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45612 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.17967 score=0.987672 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45639 reason=tracking_pose_accepted
x=3.25 y=1.5 yaw=1.17874 score=0.984957 valid=1 mode=tracking state=TRACKING evaluated=807 execution_us=45894 reason=tracking_pose_accepted
