mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 1033 ms
[YDLIDAR] Create thread 0xA69C74C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-24 00:18:02][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=6.2 y=4.6 yaw=1.19991 score=0.993808 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=517032 reason=initial_global_pose_accepted
x=6.2 y=4.6 yaw=1.19898 score=0.980311 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=29720 reason=recovery_confirmation_pending
x=6.25 y=4.6 yaw=1.09333 score=0.909967 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=27914 reason=recovery_confirmation_pending
x=6.25 y=4.6 yaw=1.1273 score=0.959861 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=27868 reason=recovery_confirmed
x=6.25 y=4.6 yaw=1.02164 score=0.845474 valid=0 mode=tracking state=DEGRADED evaluated=789 execution_us=27696 reason=tracking_score_below_threshold
x=6.25 y=4.6 yaw=1.16127 score=0.978992 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=27578 reason=tracking_quality_restored
x=6.2 y=4.6 yaw=1.05562 score=0.85884 valid=0 mode=tracking state=DEGRADED evaluated=789 execution_us=27974 reason=tracking_score_below_threshold
x=6.25 y=4.6 yaw=1.05562 score=0.869134 valid=0 mode=tracking state=DEGRADED evaluated=789 execution_us=28200 reason=tracking_score_below_threshold
x=6.2 y=4.6 yaw=1.03816 score=0.861683 valid=0 mode=tracking state=LOST evaluated=789 execution_us=27581 reason=rejection_limit_reached
x=6.2 y=4.6 yaw=1.22173 score=0.98324 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=547200 reason=global_relocalization_accepted
x=6.25 y=4.55 yaw=1.18589 score=0.979239 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=28619 reason=recovery_confirmation_pending
x=6.2 y=4.55 yaw=1.08024 score=0.88698 valid=0 mode=tracking state=DEGRADED evaluated=789 execution_us=28992 reason=tracking_score_below_threshold
x=6.2 y=4.55 yaw=1.08024 score=0.887876 valid=0 mode=tracking state=DEGRADED evaluated=789 execution_us=27918 reason=tracking_score_below_threshold
x=6.25 y=4.6 yaw=1.08024 score=0.885863 valid=0 mode=tracking state=LOST evaluated=789 execution_us=27682 reason=rejection_limit_reached
x=6.2 y=4.55 yaw=1.19991 score=0.982771 valid=1 mode=global state=RECOVERED evaluated=15444 execution_us=543197 reason=global_relocalization_accepted
x=6.25 y=4.6 yaw=1.09426 score=0.918905 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=29813 reason=recovery_confirmation_pending
x=6.25 y=4.6 yaw=1.12823 score=0.960817 valid=1 mode=tracking state=RECOVERED evaluated=789 execution_us=28957 reason=recovery_confirmation_pending
x=6.25 y=4.6 yaw=1.02258 score=0.843023 valid=0 mode=tracking state=DEGRADED evaluated=789 execution_us=27529 reason=tracking_score_below_threshold
